ip,username,password,secret,device_type
192.168.1.1,admin,password,en-secret,aruba_aoscx
192.168.1.2,admin,password,en-secret,mikrotik_routeros
192.168.1.3,admin,password,en-secret,ruckus_fastiron_telnet
192.168.1.4,admin,password,en-secret,dlink_ds_telnet
192.168.1.5,admin,password,en-secret,dell_dnos6_telnet
192.168.1.6,admin,password,en-secret,dell_powerconnect_telnet
192.168.1.7,admin,password,en-secret,cisco_nxos
192.168.1.8,admin,password,en-secret,paloalto_panos
192.168.1.9,admin,password,en-secret,fortinet_ssh
#192.168.1.10,admin,password,en-secret,fortinet_ssh
